project_id,week,estimated_hours,logged_hours
PBI-001,2026-08-17,30,24
PBI-001,2026-08-24,30,25
PBI-001,2026-08-31,30,26
PBI-002,2026-08-17,25,20
PBI-002,2026-08-24,25,21
PBI-002,2026-08-31,25,22
PBI-003,2026-08-17,30,24
PBI-003,2026-08-24,30,25
PBI-003,2026-08-31,30,23
PBI-004,2026-08-17,20,15
PBI-004,2026-08-24,20,16
PBI-004,2026-08-31,20,17
PBI-005,2026-08-17,40,38
PBI-005,2026-08-24,40,42
PBI-005,2026-08-31,40,45
PBI-006,2026-08-17,22,17
PBI-006,2026-08-24,22,18
PBI-006,2026-08-31,22,19
PBI-007,2026-08-17,28,22
PBI-007,2026-08-24,28,23
PBI-007,2026-08-31,28,24
PBI-008,2026-08-17,35,33
PBI-008,2026-08-24,35,34
PBI-008,2026-08-31,35,36
PBI-009,2026-08-17,24,18
PBI-009,2026-08-24,24,19
PBI-009,2026-08-31,24,20
